Segement_Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,ProductID,Category,Manufacturing Price
Government-Canada,Paseo,High,2632.0,$350.,"$921,200.",119756.0,"$801,444.","$684,320.","$117,124.",6/1/2014,6,3,Security, $10.00 
Government-Canada,Paseo,High,700.0,$350.,"$245,000.",34300.0,"$210,700.","$182,000.","$28,700.",11/1/2014,11,3,Security, $10.00 
Government-Canada,Paseo,,292.0,$20.,"$5,840.",0.0,"$5,840.","$2,920.","$2,920.",2/1/2014,2,3,Security, $10.00 
Government-Canada,Paseo,,1817.0,$20.,"$36,340.",0.0,"$36,340.","$18,170.","$18,170.",12/1/2014,12,3,Security, $10.00 
Government-Canada,Paseo,Low,2074.0,$20.,"$41,480.",1659.2,"$39,820.8","$20,740.","$19,080.8",9/1/2014,9,3,Security, $10.00 
Government-Canada,Paseo,Medium,1389.0,$20.,"$27,780.",1389.0,"$26,391.","$13,890.","$12,501.",10/1/2013,10,3,Security, $10.00 
Government-Canada,Paseo,Medium,1802.0,$20.,"$36,040.",1802.0,"$34,238.","$18,020.","$16,218.",12/1/2013,12,3,Security, $10.00 
Government-Canada,Paseo,High,2394.0,$20.,"$47,880.",5266.8,"$42,613.2","$23,940.","$18,673.2",8/1/2014,8,3,Security, $10.00 
Government-Canada,Paseo,High,1249.0,$20.,"$24,980.",3247.4,"$21,732.6","$12,490.","$9,242.6",10/1/2014,10,3,Security, $10.00 
Government-Canada,Paseo,High,2428.0,$20.,"$48,560.",6798.4,"$41,761.6","$24,280.","$17,481.6",3/1/2014,3,3,Security, $10.00 
Government-Canada,Paseo,Low,4251.0,$7.,"$29,757.",1190.28,"$28,566.72","$21,255.","$7,311.72",1/1/2014,1,3,Security, $10.00 
Government-Canada,Paseo,Medium,2349.0,$7.,"$16,443.",822.15,"$15,620.85","$11,745.","$3,875.85",9/1/2013,9,3,Security, $10.00 
Government-Canada,Paseo,Medium,257.0,$7.,"$1,799.",143.92,"$1,655.08","$1,285.",$370.08,5/1/2014,5,3,Security, $10.00 
Government-Canada,Paseo,High,723.0,$7.,"$5,061.",759.15,"$4,301.85","$3,615.",$686.85,4/1/2014,4,3,Security, $10.00 
Channel Partners-Canada,Paseo,,2518.0,$12.,"$30,216.",0.0,"$30,216.","$7,554.","$22,662.",6/1/2014,6,3,Security, $10.00 
Midmarket-Canada,Paseo,,2152.0,$15.,"$32,280.",0.0,"$32,280.","$21,520.","$10,760.",12/1/2013,12,3,Security, $10.00 
Midmarket-Canada,Paseo,Low,2363.0,$15.,"$35,445.",708.9,"$34,736.1","$23,630.","$11,106.1",2/1/2014,2,3,Security, $10.00 
Channel Partners-Canada,Paseo,Low,1295.0,$12.,"$15,540.",310.8,"$15,229.2","$3,885.","$11,344.2",10/1/2014,10,3,Security, $10.00 
Small Business-Canada,Paseo,Low,1916.0,$300.,"$574,800.",11496.0,"$563,304.","$479,000.","$84,304.",12/1/2014,12,3,Security, $10.00 
Enterprise-Canada,Paseo,Low,2729.0,$125.,"$341,125.",6822.5,"$334,302.5","$327,480.","$6,822.5",12/1/2014,12,3,Security, $10.00 
Enterprise-Canada,Paseo,Low,1774.0,$125.,"$221,750.",6652.5,"$215,097.5","$212,880.","$2,217.5",3/1/2014,3,3,Security, $10.00 
Enterprise-Canada,Paseo,Low,2009.0,$125.,"$251,125.",7533.75,"$243,591.25","$241,080.","$2,511.25",10/1/2014,10,3,Security, $10.00 
Midmarket-Canada,Paseo,Low,218.0,$15.,"$3,270.",130.8,"$3,139.2","$2,180.",$959.2,9/1/2014,9,3,Security, $10.00 
Channel Partners-Canada,Paseo,Medium,2431.0,$12.,"$29,172.",1458.6,"$27,713.4","$7,293.","$20,420.4",12/1/2014,12,3,Security, $10.00 
Channel Partners-Canada,Paseo,Medium,2299.0,$12.,"$27,588.",1655.28,"$25,932.72","$6,897.","$19,035.72",10/1/2013,10,3,Security, $10.00 
Small Business-Canada,Paseo,Medium,1702.0,$300.,"$510,600.",35742.0,"$474,858.","$425,500.","$49,358.",5/1/2014,5,3,Security, $10.00 
Small Business-Canada,Paseo,Medium,1404.0,$300.,"$421,200.",29484.0,"$391,716.","$351,000.","$40,716.",11/1/2013,11,3,Security, $10.00 
Small Business-Canada,Paseo,Medium,1094.0,$300.,"$328,200.",29538.0,"$298,662.","$273,500.","$25,162.",6/1/2014,6,3,Security, $10.00 
Small Business-Canada,Paseo,High,873.0,$300.,"$261,900.",28809.0,"$233,091.","$218,250.","$14,841.",1/1/2014,1,3,Security, $10.00 
Channel Partners-Canada,Paseo,High,4026.0,$12.,"$48,312.",5314.32,"$42,997.68","$12,078.","$30,919.68",7/1/2014,7,3,Security, $10.00 
Small Business-Canada,Paseo,High,1366.0,$300.,"$409,800.",45078.0,"$364,722.","$341,500.","$23,222.",11/1/2014,11,3,Security, $10.00 
Enterprise-Canada,Paseo,High,1583.0,$125.,"$197,875.",25723.75,"$172,151.25","$189,960.","($17,808.75)",6/1/2014,6,3,Security, $10.00 
Midmarket-Canada,Paseo,High,1565.0,$15.,"$23,475.",3051.75,"$20,423.25","$15,650.","$4,773.25",10/1/2014,10,3,Security, $10.00 
Midmarket-Canada,Paseo,High,2470.0,$15.,"$37,050.",5187.0,"$31,863.","$24,700.","$7,163.",9/1/2013,9,3,Security, $10.00 
Midmarket-Canada,Paseo,High,1743.0,$15.,"$26,145.",3660.3,"$22,484.7","$17,430.","$5,054.7",10/1/2013,10,3,Security, $10.00 
Channel Partners-Canada,Paseo,High,2222.0,$12.,"$26,664.",3732.96,"$22,931.04","$6,666.","$16,265.04",11/1/2013,11,3,Security, $10.00 
Midmarket-Canada,Paseo,High,1614.0,$15.,"$24,210.",3631.5,"$20,578.5","$16,140.","$4,438.5",4/1/2014,4,3,Security, $10.00 
Midmarket-Canada,Paseo,High,2559.0,$15.,"$38,385.",5757.75,"$32,627.25","$25,590.","$7,037.25",8/1/2014,8,3,Security, $10.00 
Midmarket-Mexico,Paseo,,974.0,$15.,"$14,610.",0.0,"$14,610.","$9,740.","$4,870.",2/1/2014,2,3,Security, $10.00 
Channel Partners-Germany,Paseo,,367.0,$12.,"$4,404.",0.0,"$4,404.","$1,101.","$3,303.",7/1/2014,7,3,Security, $10.00 
Midmarket-France,Paseo,,549.0,$15.,"$8,235.",0.0,"$8,235.","$5,490.","$2,745.",9/1/2013,9,3,Security, $10.00 
Small Business-Mexico,Paseo,,788.0,$300.,"$236,400.",0.0,"$236,400.","$197,000.","$39,400.",9/1/2013,9,3,Security, $10.00 
Midmarket-Mexico,Paseo,,2472.0,$15.,"$37,080.",0.0,"$37,080.","$24,720.","$12,360.",9/1/2014,9,3,Security, $10.00 
Channel Partners-USA,Paseo,,912.0,$12.,"$10,944.",0.0,"$10,944.","$2,736.","$8,208.",11/1/2013,11,3,Security, $10.00 
Midmarket-France,Paseo,Low,2296.0,$15.,"$34,440.",344.4,"$34,095.6","$22,960.","$11,135.6",2/1/2014,2,3,Security, $10.00 
Midmarket-USA,Paseo,Low,1514.0,$15.,"$22,710.",227.1,"$22,482.9","$15,140.","$7,342.9",2/1/2014,2,3,Security, $10.00 
Enterprise-USA,Paseo,Low,727.0,$125.,"$90,875.",908.75,"$89,966.25","$87,240.","$2,726.25",6/1/2014,6,3,Security, $10.00 
Enterprise-France,Paseo,Low,787.0,$125.,"$98,375.",983.75,"$97,391.25","$94,440.","$2,951.25",6/1/2014,6,3,Security, $10.00 
Enterprise-Mexico,Paseo,Low,1823.0,$125.,"$227,875.",2278.75,"$225,596.25","$218,760.","$6,836.25",7/1/2014,7,3,Security, $10.00 
Midmarket-Germany,Paseo,Low,747.0,$15.,"$11,205.",112.05,"$11,092.95","$7,470.","$3,622.95",9/1/2014,9,3,Security, $10.00 
Channel Partners-Germany,Paseo,Low,766.0,$12.,"$9,192.",91.92,"$9,100.08","$2,298.","$6,802.08",10/1/2013,10,3,Security, $10.00 
Small Business-USA,Paseo,Low,2905.0,$300.,"$871,500.",8715.0,"$862,785.","$726,250.","$136,535.",11/1/2014,11,3,Security, $10.00 
Small Business-France,Paseo,Low,918.0,$300.,"$275,400.",5508.0,"$269,892.","$229,500.","$40,392.",5/1/2014,5,3,Security, $10.00 
Small Business-Germany,Paseo,Low,1728.0,$300.,"$518,400.",10368.0,"$508,032.","$432,000.","$76,032.",5/1/2014,5,3,Security, $10.00 
Channel Partners-USA,Paseo,Low,1142.0,$12.,"$13,704.",274.08,"$13,429.92","$3,426.","$10,003.92",6/1/2014,6,3,Security, $10.00 
Enterprise-Mexico,Paseo,Low,662.0,$125.,"$82,750.",1655.0,"$81,095.","$79,440.","$1,655.",6/1/2014,6,3,Security, $10.00 
Enterprise-Germany,Paseo,Low,809.0,$125.,"$101,125.",2022.5,"$99,102.5","$97,080.","$2,022.5",10/1/2013,10,3,Security, $10.00 
Enterprise-Mexico,Paseo,Low,2145.0,$125.,"$268,125.",5362.5,"$262,762.5","$257,400.","$5,362.5",10/1/2013,10,3,Security, $10.00 
Channel Partners-France,Paseo,Low,1785.0,$12.,"$21,420.",428.4,"$20,991.6","$5,355.","$15,636.6",11/1/2013,11,3,Security, $10.00 
Midmarket-USA,Paseo,Low,1925.0,$15.,"$28,875.",577.5,"$28,297.5","$19,250.","$9,047.5",12/1/2013,12,3,Security, $10.00 
Channel Partners-France,Paseo,Low,1055.0,$12.,"$12,660.",253.2,"$12,406.8","$3,165.","$9,241.8",12/1/2014,12,3,Security, $10.00 
Channel Partners-Mexico,Paseo,Low,1084.0,$12.,"$13,008.",260.16,"$12,747.84","$3,252.","$9,495.84",12/1/2014,12,3,Security, $10.00 
Small Business-France,Paseo,Low,2434.5,$300.,"$730,350.",21910.5,"$708,439.5","$608,625.","$99,814.5",1/1/2014,1,3,Security, $10.00 
Channel Partners-France,Paseo,Low,1901.0,$12.,"$22,812.",684.36,"$22,127.64","$5,703.","$16,424.64",6/1/2014,6,3,Security, $10.00 
Small Business-Germany,Paseo,Low,689.0,$300.,"$206,700.",6201.0,"$200,499.","$172,250.","$28,249.",6/1/2014,6,3,Security, $10.00 
Enterprise-Germany,Paseo,Low,1570.0,$125.,"$196,250.",5887.5,"$190,362.5","$188,400.","$1,962.5",6/1/2014,6,3,Security, $10.00 
Channel Partners-USA,Paseo,Low,1369.5,$12.,"$16,434.",493.02,"$15,940.98","$4,108.5","$11,832.48",7/1/2014,7,3,Security, $10.00 
Midmarket-Germany,Paseo,Low,1945.0,$15.,"$29,175.",875.25,"$28,299.75","$19,450.","$8,849.75",10/1/2013,10,3,Security, $10.00 
Enterprise-France,Paseo,Low,1287.0,$125.,"$160,875.",4826.25,"$156,048.75","$154,440.","$1,608.75",12/1/2014,12,3,Security, $10.00 
Enterprise-Germany,Paseo,Low,1706.0,$125.,"$213,250.",6397.5,"$206,852.5","$204,720.","$2,132.5",12/1/2014,12,3,Security, $10.00 
Midmarket-Mexico,Paseo,Low,2031.0,$15.,"$30,465.",1218.6,"$29,246.4","$20,310.","$8,936.4",10/1/2014,10,3,Security, $10.00 
Midmarket-France,Paseo,Low,2261.0,$15.,"$33,915.",1356.6,"$32,558.4","$22,610.","$9,948.4",12/1/2013,12,3,Security, $10.00 
Enterprise-Germany,Paseo,Low,795.0,$125.,"$99,375.",3975.0,"$95,400.","$95,400.",$0.,3/1/2014,3,3,Security, $10.00 
Small Business-Germany,Paseo,Low,1414.5,$300.,"$424,350.",16974.0,"$407,376.","$353,625.","$53,751.",4/1/2014,4,3,Security, $10.00 
Small Business-USA,Paseo,Low,2918.0,$300.,"$875,400.",35016.0,"$840,384.","$729,500.","$110,884.",5/1/2014,5,3,Security, $10.00 
Enterprise-France,Paseo,Low,2988.0,$125.,"$373,500.",14940.0,"$358,560.","$358,560.",$0.,7/1/2014,7,3,Security, $10.00 
Midmarket-USA,Paseo,Low,671.0,$15.,"$10,065.",402.6,"$9,662.4","$6,710.","$2,952.4",10/1/2013,10,3,Security, $10.00 
Midmarket-Mexico,Paseo,Low,1514.0,$15.,"$22,710.",908.4,"$21,801.6","$15,140.","$6,661.6",10/1/2013,10,3,Security, $10.00 
Enterprise-Mexico,Paseo,Low,1138.0,$125.,"$142,250.",5690.0,"$136,560.","$136,560.",$0.,12/1/2014,12,3,Security, $10.00 
Enterprise-USA,Paseo,Medium,2992.0,$125.,"$374,000.",18700.0,"$355,300.","$359,040.","($3,740.)",3/1/2014,3,3,Security, $10.00 
Enterprise-France,Paseo,Medium,2385.0,$125.,"$298,125.",14906.25,"$283,218.75","$286,200.","($2,981.25)",3/1/2014,3,3,Security, $10.00 
Small Business-Mexico,Paseo,Medium,1607.0,$300.,"$482,100.",24105.0,"$457,995.","$401,750.","$56,245.",4/1/2014,4,3,Security, $10.00 
Small Business-USA,Paseo,Medium,991.0,$300.,"$297,300.",14865.0,"$282,435.","$247,750.","$34,685.",6/1/2014,6,3,Security, $10.00 
Midmarket-France,Paseo,Medium,2620.0,$15.,"$39,300.",1965.0,"$37,335.","$26,200.","$11,135.",9/1/2014,9,3,Security, $10.00 
Enterprise-USA,Paseo,Medium,861.0,$125.,"$107,625.",5381.25,"$102,243.75","$103,320.","($1,076.25)",10/1/2014,10,3,Security, $10.00 
Enterprise-France,Paseo,Medium,704.0,$125.,"$88,000.",4400.0,"$83,600.","$84,480.",($880.),10/1/2013,10,3,Security, $10.00 
Midmarket-Germany,Paseo,Medium,2116.0,$15.,"$31,740.",1587.0,"$30,153.","$21,160.","$8,993.",12/1/2013,12,3,Security, $10.00 
Midmarket-France,Paseo,Medium,3801.0,$15.,"$57,015.",3420.9,"$53,594.1","$38,010.","$15,584.1",4/1/2014,4,3,Security, $10.00 
Midmarket-USA,Paseo,Medium,2198.0,$15.,"$32,970.",1978.2,"$30,991.8","$21,980.","$9,011.8",8/1/2014,8,3,Security, $10.00 
Midmarket-Germany,Paseo,Medium,1743.0,$15.,"$26,145.",1568.7,"$24,576.3","$17,430.","$7,146.3",8/1/2014,8,3,Security, $10.00 
Midmarket-USA,Paseo,Medium,1153.0,$15.,"$17,295.",1037.7,"$16,257.3","$11,530.","$4,727.3",10/1/2014,10,3,Security, $10.00 
Small Business-France,Paseo,Medium,448.0,$300.,"$134,400.",9408.0,"$124,992.","$112,000.","$12,992.",6/1/2014,6,3,Security, $10.00 
Enterprise-Germany,Paseo,Medium,3513.0,$125.,"$439,125.",30738.75,"$408,386.25","$421,560.","($13,173.75)",7/1/2014,7,3,Security, $10.00 
Midmarket-France,Paseo,Medium,2101.0,$15.,"$31,515.",2206.05,"$29,308.95","$21,010.","$8,298.95",8/1/2014,8,3,Security, $10.00 
Midmarket-USA,Paseo,Medium,2931.0,$15.,"$43,965.",3077.55,"$40,887.45","$29,310.","$11,577.45",9/1/2013,9,3,Security, $10.00 
Small Business-Germany,Paseo,Medium,1123.0,$300.,"$336,900.",23583.0,"$313,317.","$280,750.","$32,567.",9/1/2013,9,3,Security, $10.00 
Channel Partners-Mexico,Paseo,Medium,2763.0,$12.,"$33,156.",2320.92,"$30,835.08","$8,289.","$22,546.08",11/1/2013,11,3,Security, $10.00 
Enterprise-Mexico,Paseo,Medium,1114.0,$125.,"$139,250.",11140.0,"$128,110.","$133,680.","($5,570.)",3/1/2014,3,3,Security, $10.00 
Small Business-Mexico,Paseo,Medium,2460.0,$300.,"$738,000.",59040.0,"$678,960.","$615,000.","$63,960.",6/1/2014,6,3,Security, $10.00 
Small Business-Mexico,Paseo,Medium,2565.0,$300.,"$769,500.",69255.0,"$700,245.","$641,250.","$58,995.",1/1/2014,1,3,Security, $10.00 
Midmarket-USA,Paseo,Medium,3675.0,$15.,"$55,125.",4961.25,"$50,163.75","$36,750.","$13,413.75",4/1/2014,4,3,Security, $10.00 
Midmarket-France,Paseo,Medium,1227.0,$15.,"$18,405.",1656.45,"$16,748.55","$12,270.","$4,478.55",10/1/2014,10,3,Security, $10.00 
Channel Partners-Mexico,Paseo,Medium,367.0,$12.,"$4,404.",396.36,"$4,007.64","$1,101.","$2,906.64",10/1/2013,10,3,Security, $10.00 
Small Business-France,Paseo,Medium,1324.0,$300.,"$397,200.",35748.0,"$361,452.","$331,000.","$30,452.",11/1/2014,11,3,Security, $10.00 
Channel Partners-Germany,Paseo,Medium,1775.0,$12.,"$21,300.",1917.0,"$19,383.","$5,325.","$14,058.",11/1/2013,11,3,Security, $10.00 
Enterprise-USA,Paseo,Medium,2797.0,$125.,"$349,625.",31466.25,"$318,158.75","$335,640.","($17,481.25)",12/1/2014,12,3,Security, $10.00 
Channel Partners-USA,Paseo,High,386.0,$12.,"$4,632.",463.2,"$4,168.8","$1,158.","$3,010.8",10/1/2013,10,3,Security, $10.00 
Small Business-Mexico,Paseo,High,591.0,$300.,"$177,300.",17730.0,"$159,570.","$147,750.","$11,820.",5/1/2014,5,3,Security, $10.00 
Midmarket-France,Paseo,High,2167.0,$15.,"$32,505.",3250.5,"$29,254.5","$21,670.","$7,584.5",10/1/2013,10,3,Security, $10.00 
Channel Partners-France,Paseo,High,1198.0,$12.,"$14,376.",1581.36,"$12,794.64","$3,594.","$9,200.64",10/1/2013,10,3,Security, $10.00 
Channel Partners-France,Paseo,High,2425.5,$12.,"$29,106.",3201.66,"$25,904.34","$7,276.5","$18,627.84",7/1/2014,7,3,Security, $10.00 
Midmarket-Mexico,Paseo,High,1984.0,$15.,"$29,760.",3273.6,"$26,486.4","$19,840.","$6,646.4",8/1/2014,8,3,Security, $10.00 
Enterprise-France,Paseo,High,2441.0,$125.,"$305,125.",33563.75,"$271,561.25","$292,920.","($21,358.75)",10/1/2014,10,3,Security, $10.00 
Small Business-USA,Paseo,High,3495.0,$300.,"$1,048,500.",125820.0,"$922,680.","$873,750.","$48,930.",1/1/2014,1,3,Security, $10.00 
Enterprise-Mexico,Paseo,High,2156.0,$125.,"$269,500.",32340.0,"$237,160.","$258,720.","($21,560.)",10/1/2014,10,3,Security, $10.00 
Small Business-Germany,Paseo,High,1359.0,$300.,"$407,700.",48924.0,"$358,776.","$339,750.","$19,026.",11/1/2014,11,3,Security, $10.00 
Small Business-Mexico,Paseo,High,2150.0,$300.,"$645,000.",77400.0,"$567,600.","$537,500.","$30,100.",11/1/2014,11,3,Security, $10.00 
Midmarket-Mexico,Paseo,High,380.0,$15.,"$5,700.",684.0,"$5,016.","$3,800.","$1,216.",12/1/2013,12,3,Security, $10.00 
Small Business-Germany,Paseo,High,807.0,$300.,"$242,100.",31473.0,"$210,627.","$201,750.","$8,877.",1/1/2014,1,3,Security, $10.00 
Channel Partners-Mexico,Paseo,High,571.0,$12.,"$6,852.",890.76,"$5,961.24","$1,713.","$4,248.24",7/1/2014,7,3,Security, $10.00 
Channel Partners-Germany,Paseo,High,1013.0,$12.,"$12,156.",1580.28,"$10,575.72","$3,039.","$7,536.72",12/1/2014,12,3,Security, $10.00 
Midmarket-Germany,Paseo,High,278.0,$15.,"$4,170.",583.8,"$3,586.2","$2,780.",$806.2,2/1/2014,2,3,Security, $10.00 
Midmarket-USA,Paseo,High,1767.0,$15.,"$26,505.",3710.7,"$22,794.3","$17,670.","$5,124.3",9/1/2014,9,3,Security, $10.00 
Channel Partners-France,Paseo,High,1393.0,$12.,"$16,716.",2340.24,"$14,375.76","$4,179.","$10,196.76",10/1/2014,10,3,Security, $10.00 
Channel Partners-USA,Paseo,High,2914.0,$12.,"$34,968.",4895.52,"$30,072.48","$8,742.","$21,330.48",10/1/2014,10,3,Security, $10.00 
Enterprise-Germany,Paseo,High,1085.0,$125.,"$135,625.",20343.75,"$115,281.25","$130,200.","($14,918.75)",10/1/2014,10,3,Security, $10.00 
Midmarket-Germany,Paseo,High,1175.0,$15.,"$17,625.",2643.75,"$14,981.25","$11,750.","$3,231.25",10/1/2014,10,3,Security, $10.00 
Channel Partners-USA,Paseo,High,914.0,$12.,"$10,968.",1645.2,"$9,322.8","$2,742.","$6,580.8",12/1/2014,12,3,Security, $10.00 
Government-Germany,Velo,,1006.0,$350.,"$352,100.",0.0,"$352,100.","$261,560.","$90,540.",6/1/2014,6,4,Audio, $120.00 
Government-Germany,Velo,Low,2966.0,$350.,"$1,038,100.",20762.0,"$1,017,338.","$771,160.","$246,178.",10/1/2013,10,4,Audio, $120.00 
Government-Germany,Velo,Low,2877.0,$350.,"$1,006,950.",20139.0,"$986,811.","$748,020.","$238,791.",10/1/2014,10,4,Audio, $120.00 
Government-France,Velo,Low,2177.0,$350.,"$761,950.",30478.0,"$731,472.","$566,020.","$165,452.",10/1/2014,10,4,Audio, $120.00 
Government-USA,Velo,Medium,602.0,$350.,"$210,700.",10535.0,"$200,165.","$156,520.","$43,645.",6/1/2014,6,4,Audio, $120.00 
Government-France,Velo,Medium,1496.0,$350.,"$523,600.",31416.0,"$492,184.","$388,960.","$103,224.",6/1/2014,6,4,Audio, $120.00 
Government-France,Velo,Medium,2076.0,$350.,"$726,600.",43596.0,"$683,004.","$539,760.","$143,244.",10/1/2013,10,4,Audio, $120.00 
Government-Germany,Velo,Medium,1307.0,$350.,"$457,450.",41170.5,"$416,279.5","$339,820.","$76,459.5",7/1/2014,7,4,Audio, $120.00 
Government-France,Velo,High,639.0,$350.,"$223,650.",22365.0,"$201,285.","$166,140.","$35,145.",7/1/2014,7,4,Audio, $120.00 
Government-Mexico,Velo,High,344.0,$350.,"$120,400.",13244.0,"$107,156.","$89,440.","$17,716.",10/1/2013,10,4,Audio, $120.00 
Government-Mexico,Velo,High,1395.0,$350.,"$488,250.",58590.0,"$429,660.","$362,700.","$66,960.",7/1/2014,7,4,Audio, $120.00 
Government-USA,Velo,High,986.0,$350.,"$345,100.",41412.0,"$303,688.","$256,360.","$47,328.",10/1/2014,10,4,Audio, $120.00 
Government-France,Velo,Low,3864.0,$20.,"$77,280.",772.8,"$76,507.2","$38,640.","$37,867.2",4/1/2014,4,4,Audio, $120.00 
Government-USA,Velo,Low,1566.0,$20.,"$31,320.",626.4,"$30,693.6","$15,660.","$15,033.6",10/1/2014,10,4,Audio, $120.00 
Government-Mexico,Velo,Low,544.0,$20.,"$10,880.",217.6,"$10,662.4","$5,440.","$5,222.4",12/1/2013,12,4,Audio, $120.00 
Government-USA,Velo,Low,736.0,$20.,"$14,720.",588.8,"$14,131.2","$7,360.","$6,771.2",9/1/2013,9,4,Audio, $120.00 
Government-USA,Velo,Medium,2832.0,$20.,"$56,640.",2832.0,"$53,808.","$28,320.","$25,488.",8/1/2014,8,4,Audio, $120.00 
Government-France,Velo,Medium,1579.0,$20.,"$31,580.",1579.0,"$30,001.","$15,790.","$14,211.",8/1/2014,8,4,Audio, $120.00 
Government-France,Velo,Medium,1033.0,$20.,"$20,660.",1033.0,"$19,627.","$10,330.","$9,297.",12/1/2013,12,4,Audio, $120.00 
Government-Germany,Velo,Medium,1001.0,$20.,"$20,020.",1201.2,"$18,818.8","$10,010.","$8,808.8",8/1/2014,8,4,Audio, $120.00 
Government-Mexico,Velo,Medium,609.0,$20.,"$12,180.",852.6,"$11,327.4","$6,090.","$5,237.4",8/1/2014,8,4,Audio, $120.00 
Government-France,Velo,Medium,1976.0,$20.,"$39,520.",2766.4,"$36,753.6","$19,760.","$16,993.6",10/1/2014,10,4,Audio, $120.00 
Government-USA,Velo,Medium,1421.0,$20.,"$28,420.",1989.4,"$26,430.6","$14,210.","$12,220.6",12/1/2013,12,4,Audio, $120.00 
Government-Germany,Velo,Medium,588.0,$20.,"$11,760.",823.2,"$10,936.8","$5,880.","$5,056.8",12/1/2013,12,4,Audio, $120.00 
Government-Germany,Velo,High,241.0,$20.,"$4,820.",482.0,"$4,338.","$2,410.","$1,928.",10/1/2014,10,4,Audio, $120.00 
Government-France,Velo,High,2805.0,$20.,"$56,100.",6171.0,"$49,929.","$28,050.","$21,879.",9/1/2013,9,4,Audio, $120.00 
Government-Mexico,Velo,High,905.0,$20.,"$18,100.",2172.0,"$15,928.","$9,050.","$6,878.",10/1/2014,10,4,Audio, $120.00 
Government-USA,Velo,High,606.0,$20.,"$12,120.",1696.8,"$10,423.2","$6,060.","$4,363.2",4/1/2014,4,4,Audio, $120.00 
Government-Mexico,Velo,,1493.0,$7.,"$10,451.",0.0,"$10,451.","$7,465.","$2,986.",1/1/2014,1,4,Audio, $120.00 
Government-France,Velo,Low,639.0,$7.,"$4,473.",44.73,"$4,428.27","$3,195.","$1,233.27",11/1/2014,11,4,Audio, $120.00 
Government-Canada,Velo,Medium,1269.0,$350.,"$444,150.",39973.5,"$404,176.5","$329,940.","$74,236.5",10/1/2014,10,4,Audio, $120.00 
Government-Canada,Velo,High,2632.0,$350.,"$921,200.",119756.0,"$801,444.","$684,320.","$117,124.",6/1/2014,6,4,Audio, $120.00 
Government-Mexico,Velo,Low,362.0,$7.,"$2,534.",25.34,"$2,508.66","$1,810.",$698.66,5/1/2014,5,4,Audio, $120.00 
Government-Canada,Velo,Low,3850.5,$20.,"$77,010.",2310.3,"$74,699.7","$38,505.","$36,194.7",4/1/2014,4,4,Audio, $120.00 
Government-Canada,Velo,Low,2646.0,$20.,"$52,920.",2116.8,"$50,803.2","$26,460.","$24,343.2",9/1/2013,9,4,Audio, $120.00 
Government-Canada,Velo,Low,2092.0,$7.,"$14,644.",146.44,"$14,497.56","$10,460.","$4,037.56",11/1/2013,11,4,Audio, $120.00 
Government-Canada,Velo,Medium,1135.0,$7.,"$7,945.",556.15,"$7,388.85","$5,675.","$1,713.85",6/1/2014,6,4,Audio, $120.00 
Government-Canada,Velo,Medium,1582.0,$7.,"$11,074.",775.18,"$10,298.82","$7,910.","$2,388.82",12/1/2014,12,4,Audio, $120.00 
Government-Mexico,Velo,Medium,1498.0,$7.,"$10,486.",629.16,"$9,856.84","$7,490.","$2,366.84",6/1/2014,6,4,Audio, $120.00 
Government-Mexico,Velo,Medium,1333.0,$7.,"$9,331.",559.86,"$8,771.14","$6,665.","$2,106.14",11/1/2014,11,4,Audio, $120.00 
Government-Canada,Velo,High,1808.0,$7.,"$12,656.",1392.16,"$11,263.84","$9,040.","$2,223.84",11/1/2014,11,4,Audio, $120.00 
Government-USA,Velo,Medium,547.0,$7.,"$3,829.",268.03,"$3,560.97","$2,735.",$825.97,11/1/2014,11,4,Audio, $120.00 
Enterprise-Canada,Velo,,345.0,$125.,"$43,125.",0.0,"$43,125.","$41,400.","$1,725.",10/1/2013,10,4,Audio, $120.00 
Enterprise-Canada,Velo,Low,923.0,$125.,"$115,375.",1153.75,"$114,221.25","$110,760.","$3,461.25",8/1/2014,8,4,Audio, $120.00 
Enterprise-Canada,Velo,Low,2009.0,$125.,"$251,125.",7533.75,"$243,591.25","$241,080.","$2,511.25",10/1/2014,10,4,Audio, $120.00 
Channel Partners-Canada,Velo,Medium,2431.0,$12.,"$29,172.",1458.6,"$27,713.4","$7,293.","$20,420.4",12/1/2014,12,4,Audio, $120.00 
Enterprise-Canada,Velo,Medium,952.0,$125.,"$119,000.",7140.0,"$111,860.","$114,240.","($2,380.)",2/1/2014,2,4,Audio, $120.00 
Government-USA,Velo,Medium,2907.0,$7.,"$20,349.",1627.92,"$18,721.08","$14,535.","$4,186.08",6/1/2014,6,4,Audio, $120.00 
Government-Germany,Velo,Medium,2338.0,$7.,"$16,366.",1309.28,"$15,056.72","$11,690.","$3,366.72",6/1/2014,6,4,Audio, $120.00 
Midmarket-Canada,Velo,Medium,1262.0,$15.,"$18,930.",1325.1,"$17,604.9","$12,620.","$4,984.9",5/1/2014,5,4,Audio, $120.00 
Channel Partners-Canada,Velo,Medium,598.0,$12.,"$7,176.",574.08,"$6,601.92","$1,794.","$4,807.92",3/1/2014,3,4,Audio, $120.00 
Government-Germany,Velo,High,2665.0,$7.,"$18,655.",1865.5,"$16,789.5","$13,325.","$3,464.5",11/1/2014,11,4,Audio, $120.00 
